Unnamed: 0,date,review,rating,isEdited,userName,title,developerResponse,sentiment,standardizedReview
0,2022-01-02 00:02:56,"I usually don’t have anything nice to say in the review section, but this app has changed my mind. If any person wants to learn python, start here first. Very step by step and informative while also preparing you for interviews.",5,False,z.chulo,Excellent tool for young programmers‼️,,POSITIVE,usually dont anything nice say review section app changed mind person wants learn python start first step step informative also preparing interviews
1,2022-06-22 06:15:27,"It is painfully obvious on some slides that the developers do not speak English as a first language and I often find myself reading sentences in my own head with a European accent. For example, “And surely you might be wondering what does interpreter means, or what is a module, and much more.” Would love to help them go back through and edit their content so that it reads properly and doesn’t distract other learners who just paid $6.99 from the course. 

App seems to be a great resource so far but I agree with another review that the intro is somewhat lengthy before it begins to get into any technical aspects.",3,False,Trimmc711,"Info’s Great, Spelling/Grammar Need Reviewed",,NEGATIVE,painfully obvious slides developers speak english first language often find reading sentences head european accent example surely might wondering interpreter means module much would love help go back edit content reads properly doesnt distract learners paid 699 course app seems great resource far agree another review intro somewhat lengthy begins get technical aspects
2,2022-06-18 21:43:30,"Interactive, thorough, fun, challenging…
The best way to learn Python via an app is right here. PythonX is a best tool for starting and maintaining a well rounded and in-depth experience with the programming language Python. Do yourself a favor, do your family and friends a favor, and utilize this app. Creators…great job.",5,False,Brandon82nd,Very impressive,,POSITIVE,interactive thorough fun challenging best way learn python via app right pythonx best tool starting maintaining well rounded indepth experience programming language python favor family friends favor utilize app creatorsgreat job
3,2023-01-05 20:59:27,Is it worth it to get the pro version?,5,False,Master_Frodo18,Quick question,,NEGATIVE,worth get pro version
4,2021-06-01 02:30:11,This app is way more valuable than most other confusing coures. It breaks down coding into easy digestible sections.,5,False,Eazyhoskglakfo,Great alternative to learn coding,,POSITIVE,app way valuable confusing coures breaks coding easy digestible sections
5,2022-11-01 15:44:17,I don’t usually leave comments but this app makes it so easy,5,False,turanotamail,Edu LAM,,POSITIVE,dont usually leave comments app makes easy
6,2022-03-30 00:03:28,"This app takes way too long to introduce Python, where as, in an actually good coding app, Mimo, it only takes two short pages of reading to introduce what Python is. Download Mimo, not this. Mimo is much better, less of a time waster.",2,False,pupppy dog🐶,Time waster,"{'id': 29261871, 'body': ""Hi There,\nThank you for taking out time to write a review for our app. Even we are a big fan of what Mimo is doing and kudos to them. However, we follow Kolb's Method of Learning that helps in easy recall of concepts and we have employed the same in our app. Our courses are for readers from beginner level to advanced as well and therefore it is important to introduce the subject patiently.\n\nWe also understand that everyone will have a different requirement, hence will take your review with a pinch of salt. But, to be honest, we won't be able to change our style of teaching on the app.\n\nThanks for trying out our app and providing such a knowledgeable feedback! Hoping that you understand our point of view and update your ratings!\n\nCheers!!"", 'modified': '2022-04-19T13:21:29Z'}",NEGATIVE,app takes way long introduce python actually good coding app mimo takes two short pages reading introduce python download mimo mimo much better less time waster
7,2022-10-06 17:43:10,This was a really good app until it wasn’t.  My app constantly crashes now and I have lost all of my data.  Now I can’t even restart the app.  Maybe the developers need to charge more for it in order to keep it operational.,1,False,fkuipad,Constant crashing,,NEGATIVE,really good app wasnt app constantly crashes lost data cant even restart app maybe developers need charge order keep operational
8,2021-05-23 21:52:50,Love the app so far. The learning modules and path are well thought out.,5,False,Portals4523,Nice work,,POSITIVE,love app far learning modules path well thought
9,2023-01-07 08:25:53,(Print) “This app is awesome! I highly recommend it to anyone who wants to learn Python!”,5,False,the i phone master,Awesome app!,,POSITIVE,print app awesome highly recommend anyone wants learn python
10,2021-05-15 16:09:45,This app has helped excel my programming resume. Fun and easy to use.,5,False,tatum54,Amazing!,,POSITIVE,app helped excel programming resume fun easy use
11,2022-01-11 16:25:21,I really love this app!!!,5,False,Valentina_ val,Python,,POSITIVE,really love app
12,2022-12-13 02:17:54,App does not load anymore in Apple iPhone 11 just sits there with a little snake and blinks away I’ve unloaded it and reinstalled it five times at no avail,1,False,Tsauers,Help,,NEGATIVE,app load anymore apple iphone 11 sits little snake blinks away ive unloaded reinstalled five times avail
13,2022-03-25 21:54:13,There is a bug in 21 database connectivity can you repair it!!,4,False,sqlelite,Python x,,NEGATIVE,bug 21 database connectivity repair
14,2022-01-11 14:41:47,The best python app,5,False,Andy51663),great app,,POSITIVE,best python app
15,2022-07-21 01:36:06,"I tried to learn coding through U Demy and free code academy and kept getting in a cycle where I was going from learning resource to YouTube to practice on my laptop and it was something that never stuck, I ended up grinding Python X through a YouTuber and it’s something I was and am able to stick with because it explains everything in a foundational way then expands on that, I recommend Python X to anyone who is interested in learning. It’s a great tool and very user friendly. I love love love Python X!",5,False,Ohmygoshuahh,Excellent experience,,POSITIVE,tried learn coding u demy free code academy kept getting cycle going learning resource youtube practice laptop something never stuck ended grinding python x youtuber something able stick explains everything foundational way expands recommend python x anyone interested learning great tool user friendly love love love python x
16,2022-05-23 03:17:03,"The appearance and pace is good for keeping my attention and learning. I haven't learned to code in Python yet, we will see how that goes.",5,False,Morrisonmcf,Good so far,,POSITIVE,appearance pace good keeping attention learning havent learned code python yet see goes
17,2021-09-22 20:03:24,"….I must say that I am genuinely enjoying the course and the direction with which PythonX so expertly guides me to learn while also at times allowing me the luxury of forgetting that. It’s fun! It’s fun and it’s educational! Not always such an easy task to achieve.
    
    Hands down, my favorite aspect of PyX is that periodically you are given attention grabbing projects that one can without doubt appreciate. From the level of engagement that enthralled, to the head scratching challenge provided by each progressively perplexing problem PyX captured my interest. The developers have given real world  problematic challenges to work through and solve with Python. 
    
    I consider myself an intermediate Python developer, and I feel I’ve progressed past the need for the same old, basic lessons put forth in the majority of even the most premium tutorial apps currently available. I’m simply put off, or even deterred completely by a feeling of condescension that I realize isn’t intended.
     I feel i should assure those reading this, I’m not trashing competing development houses by saying this. Hopefully, respectfully ranting can assist in bringing to the table the sheer insanity in high monthly and annual subscription fees and the boredom of these basic course materials that , in my personal opinion, are not the business model with which one wins long term customers. Again, I have  an admiration for these other actors. It’s only constructive criticism is the natural selection that drives the evolution of any creative process and I feel patrons should be vocal in a productive manner.
    PythonX shows that learning to code (even the long since learned fundamentals) can be, and should be fun in practice and in practicing. I like what has been done here, and I hope to see consistently implemented updates and the addition of lessons and projects of varying difficulty in the future. 
   You have  succeeded in procuring a fan in a man admittedly difficult to please. Job well done! Please continue letting those fun and worthwhile ideas do great things for you and for us all! Thank you for all of the hard work that you do to teach the world the skills it needs for the future! You rock!!! 🤜🏾🤛🏻    —Josh Johnson",5,False,Nervosa420,"I’m not one easily impressed, however…",,POSITIVE,must say genuinely enjoying course direction pythonx expertly guides learn also times allowing luxury forgetting fun fun educational always easy task achieve hands favorite aspect pyx periodically given attention grabbing projects one without doubt appreciate level engagement enthralled head scratching challenge provided progressively perplexing problem pyx captured interest developers given real world problematic challenges work solve python consider intermediate python developer feel ive progressed past need old basic lessons put forth majority even premium tutorial apps currently available im simply put even deterred completely feeling condescension realize isnt intended feel assure reading im trashing competing development houses saying hopefully respectfully ranting assist bringing table sheer insanity high monthly annual subscription fees boredom basic course materials personal opinion business model one wins long term customers admiration actors constructive criticism natural selection drives evolution creative process feel patrons vocal productive manner pythonx shows learning code even long since learned fundamentals fun practice practicing like done hope see consistently implemented updates addition lessons projects varying difficulty future succeeded procuring fan man admittedly difficult please job well done please continue letting fun worthwhile ideas great things us thank hard work teach world skills needs future rock josh johnson
18,2021-09-14 23:12:32,"My only complain is to change my name from the certificate and more Python courses fromPython X.  Also, I would like to see more courses in C++, C#, Haskell, Julia, Ruby, Java, JavaScript, Kotlin, Go, Rust, Dart/Flutter, etc....
Great Python 3 computer programming app! 🤩Also, I would like to see more interaction in using the code to apply our knowledge from reading. I do not want to spend too much reading text and less time coding. Learning for computer programming is best to watch online and more intense interactive programming.",5,False,Brandon M. Tseng,Best Python 3 programming in App Store!,,POSITIVE,complain change name certificate python courses frompython x also would like see courses c c haskell julia ruby java javascript kotlin go rust dartflutter etc great python 3 computer programming app also would like see interaction using code apply knowledge reading want spend much reading text less time coding learning computer programming best watch online intense interactive programming
