,app,feature,positiveCount,negativeCount,score
0,codeacademy,daily streaks,0,0,0
0,codeacademy,points system,0,0,0
0,codeacademy,progress bar,0,0,0
0,codeacademy,strike habit/competition,0,0,0
0,codeacademy,social discovery,0,0,0
0,codeacademy,challenges,0,0,0
0,codeacademy,leaderboard/competition,0,0,0
0,codeacademy,boosters,0,0,0
0,codeacademy,virtual economy,0,0,0
0,codeacademy,torture breaks,0,0,0
0,codeacademy,visual grave,0,0,0
0,codeacademy,high five,0,0,0
0,codeacademy,last mile drive,0,0,0
0,codeacademy,anticipation parade,0,0,0
0,codeacademy,avatar,0,0,0
0,codeacademy,win states,0,0,0
0,codeacademy,voting,0,0,0
0,codeacademy,crowning,0,0,0
0,codeacademy,status quo sloth,0,0,0
0,datacamp,daily streaks,2,0,1.0
0,datacamp,points system,0,0,0
0,datacamp,progress bar,1,0,1.0
0,datacamp,strike habit/competition,2,0,1.0
0,datacamp,social discovery,0,0,0
0,datacamp,challenges,6,0,1.0
0,datacamp,leaderboard/competition,0,0,0
0,datacamp,boosters,0,0,0
0,datacamp,virtual economy,0,0,0
0,datacamp,torture breaks,0,0,0
0,datacamp,visual grave,0,0,0
0,datacamp,high five,0,0,0
0,datacamp,last mile drive,0,0,0
0,datacamp,anticipation parade,0,0,0
0,datacamp,avatar,0,0,0
0,datacamp,win states,0,0,0
0,datacamp,voting,0,0,0
0,datacamp,crowning,0,0,0
0,datacamp,status quo sloth,2,-1,0.3333333333333333
0,encode,daily streaks,0,0,0
0,encode,points system,0,0,0
0,encode,progress bar,0,0,0
0,encode,strike habit/competition,0,0,0
0,encode,social discovery,0,0,0
0,encode,challenges,0,0,0
0,encode,leaderboard/competition,0,0,0
0,encode,boosters,0,0,0
0,encode,virtual economy,0,0,0
0,encode,torture breaks,0,-1,-1.0
0,encode,visual grave,0,0,0
0,encode,high five,0,0,0
0,encode,last mile drive,0,0,0
0,encode,anticipation parade,0,0,0
0,encode,avatar,0,0,0
0,encode,win states,0,0,0
0,encode,voting,0,0,0
0,encode,crowning,0,0,0
0,encode,status quo sloth,1,-1,0.0
0,learn-python-programiz,daily streaks,0,0,0
0,learn-python-programiz,points system,0,0,0
0,learn-python-programiz,progress bar,0,0,0
0,learn-python-programiz,strike habit/competition,0,0,0
0,learn-python-programiz,social discovery,0,0,0
0,learn-python-programiz,challenges,0,0,0
0,learn-python-programiz,leaderboard/competition,0,0,0
0,learn-python-programiz,boosters,3,-1,0.5
0,learn-python-programiz,virtual economy,0,0,0
0,learn-python-programiz,torture breaks,1,0,1.0
0,learn-python-programiz,visual grave,0,0,0
0,learn-python-programiz,high five,0,0,0
0,learn-python-programiz,last mile drive,0,0,0
0,learn-python-programiz,anticipation parade,0,0,0
0,learn-python-programiz,avatar,0,0,0
0,learn-python-programiz,win states,0,0,0
0,learn-python-programiz,voting,0,0,0
0,learn-python-programiz,crowning,0,0,0
0,learn-python-programiz,status quo sloth,4,-2,0.3333333333333333
0,mimo,daily streaks,0,-2,-1.0
0,mimo,points system,0,0,0
0,mimo,progress bar,0,0,0
0,mimo,strike habit/competition,0,0,0
0,mimo,social discovery,0,0,0
0,mimo,challenges,3,-3,0.0
0,mimo,leaderboard/competition,3,-1,0.5
0,mimo,boosters,15,-6,0.42857142857142855
0,mimo,virtual economy,0,0,0
0,mimo,torture breaks,3,-6,-0.3333333333333333
0,mimo,visual grave,0,0,0
0,mimo,high five,0,0,0
0,mimo,last mile drive,0,0,0
0,mimo,anticipation parade,0,0,0
0,mimo,avatar,0,0,0
0,mimo,win states,0,0,0
0,mimo,voting,0,-1,-1.0
0,mimo,crowning,0,0,0
0,mimo,status quo sloth,15,-5,0.5
0,programming-hero,daily streaks,0,0,0
0,programming-hero,points system,0,0,0
0,programming-hero,progress bar,0,0,0
0,programming-hero,strike habit/competition,0,0,0
0,programming-hero,social discovery,0,0,0
0,programming-hero,challenges,1,-3,-0.5
0,programming-hero,leaderboard/competition,0,0,0
0,programming-hero,boosters,7,-2,0.5555555555555556
0,programming-hero,virtual economy,0,0,0
0,programming-hero,torture breaks,0,-1,-1.0
0,programming-hero,visual grave,0,0,0
0,programming-hero,high five,0,0,0
0,programming-hero,last mile drive,0,0,0
0,programming-hero,anticipation parade,0,0,0
0,programming-hero,avatar,0,0,0
0,programming-hero,win states,0,0,0
0,programming-hero,voting,1,-1,0.0
0,programming-hero,crowning,0,0,0
0,programming-hero,status quo sloth,3,0,1.0
0,programming-hub,daily streaks,0,0,0
0,programming-hub,points system,0,0,0
0,programming-hub,progress bar,0,0,0
0,programming-hub,strike habit/competition,0,0,0
0,programming-hub,social discovery,0,0,0
0,programming-hub,challenges,1,0,1.0
0,programming-hub,leaderboard/competition,0,0,0
0,programming-hub,boosters,8,0,1.0
0,programming-hub,virtual economy,0,0,0
0,programming-hub,torture breaks,1,-1,0.0
0,programming-hub,visual grave,0,0,0
0,programming-hub,high five,0,0,0
0,programming-hub,last mile drive,0,0,0
0,programming-hub,anticipation parade,0,0,0
0,programming-hub,avatar,0,0,0
0,programming-hub,win states,0,0,0
0,programming-hub,voting,0,-2,-1.0
0,programming-hub,crowning,0,0,0
0,programming-hub,status quo sloth,5,-6,-0.09090909090909091
0,sololearn,daily streaks,1,0,1.0
0,sololearn,points system,0,0,0
0,sololearn,progress bar,0,0,0
0,sololearn,strike habit/competition,1,0,1.0
0,sololearn,social discovery,1,-1,0.0
0,sololearn,challenges,31,-9,0.55
0,sololearn,leaderboard/competition,1,0,1.0
0,sololearn,boosters,20,-1,0.9047619047619048
0,sololearn,virtual economy,0,0,0
0,sololearn,torture breaks,6,-3,0.3333333333333333
0,sololearn,visual grave,0,0,0
0,sololearn,high five,0,0,0
0,sololearn,last mile drive,0,0,0
0,sololearn,anticipation parade,0,0,0
0,sololearn,avatar,0,0,0
0,sololearn,win states,0,0,0
0,sololearn,voting,1,0,1.0
0,sololearn,crowning,1,0,1.0
0,sololearn,status quo sloth,10,-5,0.3333333333333333
