Unnamed: 0,reviewId,userName,userImage,content,rating,thumbsUpCount,reviewCreatedVersion,date,replyContent,repliedAt,sentiment,matched_python
223,e11bd04a-9c79-4024-8354-61988e044473,P G,https://play-lh.googleusercontent.com/a/AGNmyxazHwT0BeC7Yvcbdr-v5mpSf_WjzpqSj3bSiO5Wig=mo,"Trying the python 3 course, not very impressed with the app. On the second module text is cut off when trying to review the learning material as well as on the clean sheet. Also when you click the learn button it just opens a random topic. As far as i can see there's no tracking system for which modules you've done. Unless i missed it somehow. The content of the courses seems good as a beginner.",2,28,1.14.0,2022-11-05 10:29:20,,,NEGATIVE,python
229,7860d8f8-533c-4e5f-a697-ac635ed88347,Michael Barela,https://play-lh.googleusercontent.com/a-/ACB-R5Tp3-gPAcyFGEVkc5LIoeTNKAmYq9WEEKZHCxNBCA,"This is a fantastic way to learn small, digestible chunks of python.",5,0,1.14.0,2022-11-02 12:41:06,,,POSITIVE,python
459,5fb781b7-1cf3-49d3-aef3-ca248410034a,Justin,https://play-lh.googleusercontent.com/a-/ACB-R5QRF2WuCHW1LsCiyVeFkiNJVvFrXTOXm9EuJoEfew,codecadamy has great python courses,5,0,1.14.0,2022-07-10 12:02:50,,,POSITIVE,python
626,371d969d-329e-483b-8cd3-486ed0adec9c,Yashvardhan Jagatkar,https://play-lh.googleusercontent.com/a/AGNmyxYv0Bed27ttpoooqOQBv90wzZIEgawPzNM_44kX=mo,iam student in 12 th and learning python this app makes me understand the basic to pro.... if iam wrong at any point it Requotioned me again and again 👍🏻👍🏻,4,0,1.14.0,2022-04-13 05:27:02,,,POSITIVE,python
671,7a4c3789-fda7-4a66-a5c0-66961ac80504,Austin Emery,https://play-lh.googleusercontent.com/a-/ACB-R5T3-ZzKFbLfFVFo1fzzeUXt6JhAqT7QGRFQ0YfJNpI,"python review section has some flawed sections. the right answer is said wrong and some section s had way too many fill blocks, causing review section impassable",3,0,1.14.0,2022-03-19 01:21:00,,,NEGATIVE,python
703,5c550835-0d71-46c7-88ec-77a86ff130bd,Emanuel Attila Czirai,https://play-lh.googleusercontent.com/a/AGNmyxZ8plMGcsKs_WHuhZsUMlKRH9DxnlidIIJhpKge=mo,"The resume button for the python course has to be malfunctioning: when I first started it showed me something Vout 2D lists, now it shows me about Files but I haven't even done Loops and that's like 6 sections away. tf And there's no checkmarks to see what I've already gone through or completed.",1,4,1.14.0,2022-02-24 06:40:17,,,NEGATIVE,python
932,a745ce91-665d-422e-a125-fe71a52697cd,Evans Kobina Donkoh,https://play-lh.googleusercontent.com/a-/ACB-R5TzGVDYm7-9Cd-uvBO8lc7WL9oO1yzCLsPIbelQ-w,I just got started with CodeAcademy and I'm loving it . It really making my python journey extremely easier. Thanks to guys,4,0,1.14.0,2021-10-19 23:15:15,,,POSITIVE,python
975,1be40436-abcd-456d-b4ba-5d0ee01dc3d7,Mel Smith,https://play-lh.googleusercontent.com/a-/ACB-R5RX7FfoemdHBk_QEYJG3X4Z39zDVyZNL5Q6p_VUVW0,"Wasn't aware this wouldn't coincide with what I was doing on web learning python. This has python, but only review for mostly concepts I haven't learned yet so I quickly got stuck. Also isn't clear in app what is locked under pro... Everything that is grayed out? And then there are screens where either top or bottom of text blocks are cut off, making it difficult to read.",3,8,1.14.0,2021-09-21 14:40:32,,,NEGATIVE,python
1045,325c0c28-d87f-457d-8860-1f50c13c3d49,Prudhvi Dasari,https://play-lh.googleusercontent.com/a-/ACB-R5S8ikwKVkndN6h6NpVAgV6ypyXnVl-npUBs1kriYA,the good app to learn html css java and python,5,0,1.14.0,2021-08-13 10:16:47,,,POSITIVE,python
1086,e4c6b347-c0b3-4910-b90f-bf63447db283,Thomas bwalya,https://play-lh.googleusercontent.com/a/AGNmyxaytxpXb2zyQxwtXHrAZjFAjRxYA647U1nreH7l=mo,simple to use it's a good revision took if your just starting out to learn python and has a whole community to help you when your stuck,5,1,1.14.0,2021-07-27 04:41:44,,,POSITIVE,python
1104,4e93a6a1-5dc4-40ff-a0eb-27a19e8c34e9,Lukáš Jarmara,https://play-lh.googleusercontent.com/a-/ACB-R5RZms05p0n754DvZxPgnymRchxbBiX8TXq5KfagqA,"Really good, would give 5 stars if python 3 course was free, but I understand that the company has to make money someway.",4,0,1.14.0,2021-07-19 03:19:58,,,POSITIVE,python
1243,1995da7e-4e8e-49dd-bcf8-226a9803cf08,Jamie Gillespie,https://play-lh.googleusercontent.com/a/AGNmyxbDuOFXncgk7Mtg9X6OxmZ1XkfBOTd9xkB5XRXf=mo,I am currently learning python. The code academy app has convenient 5 minute 'review' and 'practice' activities you can perform daily which really helps sink in previous lessons. Great for days where I am unable to login into code academy for full lessons.,5,22,1.14.0,2021-05-29 13:59:58,,,POSITIVE,python
1282,8e393d2b-a5ed-4b0f-87ef-5d7ac1fcb16e,KAINYE'S WATCH GLOBAL CONCEPT,https://play-lh.googleusercontent.com/a-/ACB-R5SFdnHXJZfcCT5o-4QU-TzaB4fLu87ZDpZbUeD64w,very educative and helps with my python practice,5,0,,2021-05-15 09:42:30,,,POSITIVE,python
1546,61ed608d-406b-4d58-9091-da8644429afb,LucaMasol,https://play-lh.googleusercontent.com/a-/ACB-R5Tp2Kc2qe3K285vGnj2CdZ254leoRfGJVQSp7pp0g,"Very good for when you have some understanding of programming. I learnt some python in school (GCSE and currently doing AS) and am learning C# because I want to make some things in Unity, and this app has been a great help so far!",5,0,1.14.0,2021-01-14 19:41:19,,,POSITIVE,python
1601,1c2215c4-74af-4b6e-9ac3-dce293962e36,The One,https://play-lh.googleusercontent.com/a/AGNmyxaGWHM87aIu7MR7REl74S_mpMGIHBah0wCrz8BD=mo,I signed up for the pro version on the black friday deal. I use this app and the desktop website version. I really struggled to apply python while using online courses but Codecademy has helped me understand it way better then i did before. The projects really help you set in the concepts and allows you to practice it which looking at my results shows how important that is for application. It's been a great investment for me so far.,5,23,1.14.0,2020-12-27 12:08:21,,,POSITIVE,python
1645,9e5b9b83-8a42-45ed-923e-7be0500939b4,Abhinav Tomar,https://play-lh.googleusercontent.com/a-/ACB-R5Q0W-p1R9krbS4xZYuvMzuLi6eKnSH5kqsd-868Qg,I don't have words to describe.. I loved it. ... From last month I need a application that help me out the exercise problem in python and HTML so when I found out this I really enjoyed it..,5,2,1.14.0,2020-12-13 08:40:13,,,POSITIVE,python
1676,ae4a4e2e-fab0-4ff8-8869-13132cfadbe6,Naman Krishna,https://play-lh.googleusercontent.com/a/AGNmyxb_iFdeWu5mQapU-Vay-QNdQnKhsol8ZZOahUgK=mo,best aap to learn and practice java and python,5,0,1.14.0,2020-11-27 13:25:36,,,POSITIVE,python
1755,8eb10b7b-daaf-4a5e-910e-a7f400c466f4,Levi Hanson,https://play-lh.googleusercontent.com/a/AGNmyxacsDksE-Bpj4k1HghVxELIx8p8vPEEk1xD9iS1=mo,"it's great I'm just starting python and it's simple and intuitive I love it, it makes it very easy to learn.",5,9,1.14.0,2020-11-01 22:27:54,,,POSITIVE,python
1847,6a8073bc-549a-4b88-88ee-d60c3f5c21fb,Marcos Garcia,https://play-lh.googleusercontent.com/a/AGNmyxa13mJZmWKUfnrWlOs0kck_q0cbQtEOtZdgIwQv=mo,"I'll update this later when I've had more time to try the app. I got this to learn C# on the go. I've seriously just finished ""hello world"" in C# and you're asking for a rating. I can already code python and C++ yall need to relax begging for ratings.",3,0,1.13.1,2020-09-28 20:01:14,,,NEGATIVE,python
1970,e3534dfe-5666-453b-874f-6df7f9296e99,Daniel J,https://play-lh.googleusercontent.com/a/AGNmyxbRcXsO92BJXLvcW0tHcHkJ7a09VlwbNRnIfR_P=mo,Learning python 3 this has been the best platform I have tried. Although the examples could match the questions a little more. The video explanations are brilliant,4,2,1.13.1,2020-08-27 08:58:53,,,POSITIVE,python
2100,fb0a896d-ea81-40af-b775-f4dd2f8571a9,Md Khalid Siddiquee,https://play-lh.googleusercontent.com/a/AGNmyxak0RsR7kFisXgHe3GAOcbkjCf5Qi6v9o83Te27=mo,Phenomenol. learnt python in 1 week using this app.,5,0,1.13.1,2020-07-27 11:58:45,,,POSITIVE,python
2523,207a6a70-8901-46f6-a1ee-deb092366beb,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Very nice python here...,5,0,1.13.0,2020-04-05 02:17:57,,,POSITIVE,python
2757,5614e77a-2e34-4d89-b4f1-8a7cbde97f80,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,AWSOME ...and understanding very well(python) Anyone is BEGGINER HERE THEN THEY CAN...,5,0,1.13.0,2020-02-06 09:31:55,,,POSITIVE,python
2793,81f17aa0-f97f-4a3b-90d1-a7840db73ac2,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"The app itself is okay, I've got no issues with it. But I am wondering as to why I can do python 3 on the app but the website requires a subscription for python 3?",4,0,,2020-01-15 15:13:44,,,NEGATIVE,python
2981,7622370d-27af-43cf-9780-8b4776dab03f,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,It's stuck at the first lesson. I've done the same basic python lesson like 30 times now,1,2,1.6,2019-05-20 22:55:47,,,NEGATIVE,python
3071,fe6c978e-2a52-437c-a8b6-e449258b9713,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Doesn't let you do any of the courses you have signed up for on the web platform. You're restricted to only these options: HTML/CSS, python, javascript, web development, computer science; data science. While this is great, these are not the same courses as the web development. It's more of a ""hot topics"" highly restricted feed.",1,1,1.0,2018-09-19 17:51:45,,,NEGATIVE,python
